avg rate of infection,population,avgTemp,avgPrecip,percentage of smokers,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr
20.48275862,413210,62.5,58.3,19%,,.,.,.,0.07,0.059,17,8.3,.,.
3.771428571,209355,62.5,58.3,18%,,.,.,.,0.07,0.06,15,7.9,.,.
9.966666667,143476,58.2,13.6,16%,,2.3,.,.,0.07,0.063,.,.,.,.
27.6097561,4485414,58.2,13.6,14%,2.9,2.3,52,25,0.1,0.074,27,8.4,145,50
13.22580645,110924,58.2,13.6,21%,2.05,2.3,.,.,0.08,0.066,.,.,.,.
19.48717949,1047279,58.2,13.6,15%,1.2,0.6,30,7,0.08,0.065,9,5,139,39
4.69047619,462789,58.2,13.6,16%,2.05,0.6,.,.,0.09,0.072,33,11.3,222,59
2.344827586,235099,58.2,13.6,17%,2.05,0.6,.,.,0.07,0.061,.,.,.,.
3.181818182,99386,60.3,50.6,19%,,.,.,.,.,.,16,8.8,.,.
22.74468085,1671329,57.1,22.2,10%,5.6,1.7,48,15,0.1,0.072,19,9.4,.,.
14.02222222,1153526,57.1,22.2,10%,6.6,1.8,34,7,0.09,0.069,17,7.8,53,15
7.195121951,999101,57.1,22.2,13%,1.8,1.4,63,20,0.1,0.08,37,11.2,234,39
5.107142857,181215,57.1,22.2,13%,4.3,3.1,49,9,0.11,0.08,27,10.8,162,44
17.83870968,900202,57.1,22.2,15%,1.2,0.8,56,12,0.1,0.084,47,13,382,54
132.3658537,10039107,57.1,22.2,11%,3.8,2.9,78,23,0.12,0.101,30,13.4,159,28
3.666666667,258826,57.1,22.2,10%,1.3,0.8,40,8,0.08,0.059,14,6.4,30,13
3.838709677,434061,57.1,22.2,12%,4.5,0.8,26,4,0.07,0.058,12,5.6,76,19
2.826086957,398329,57.1,22.2,10%,2.64,1.375,43,7,0.09,0.079,21,7.2,54,14
55.2195122,2470546,57.1,22.2,12%,1.8,1.2,53,14,0.13,0.096,36,12.5,139,46
15.69642857,1552058,57.1,22.2,12%,1.7,1.3,55,12,0.1,0.071,30,8.4,90,22
31.27272727,2180085,57.1,22.2,13%,2.2,1.1,74,29,0.14,0.106,34,15.4,126,35
31.14925373,3338330,57.1,22.2,11%,3.5,1.7,47,14,0.1,0.076,17,8.6,153,32
13.62666667,881549,57.1,22.2,10%,1.2,0.9,46,10,0.09,0.053,18,7.7,34,14
